config,year,quarter,IC,ICIR,RankIC,RankICIR,NDCG@200,top_return,Stability
industry_neutral,2023,2,0.10038212451697272,2.503271905406803,0.10189924067485039,2.295177033766984,0.0,0.24855707905773528,0.48313343494111144
industry_neutral,2023,3,0.09052206773720144,1.86669619933942,0.09635986776723919,2.1130251572131145,0.0,0.0993916946968082,0.28852160740501953
industry_neutral,2023,4,0.08440279247098241,1.8987510205460834,0.09847056384748927,2.7796077497386658,0.0,0.15247228785637118,0.35510814879311264
industry_neutral,2024,1,0.10786911642522465,1.4846153722841933,0.1181085744220381,1.4053590829650142,0.0,0.19787327143066055,0.35993493033084306
industry_neutral,2024,2,0.10672284646284053,1.7336090919813603,0.11577626204088573,1.6533292537785738,0.0,0.12293283381601992,0.2468453801921252
industry_neutral,2024,3,0.10139639183027016,2.1052082194784574,0.11343396808433596,2.2985162132211134,0.0,0.1085802492184736,0.2630944294095579
industry_neutral,2024,4,0.0996563261888094,1.7851952605008445,0.10932516253858672,1.73992015539531,0.0,0.2724440838695481,0.36348655448608647
industry_neutral,2025,1,0.09080798329686204,1.9173028835167172,0.09992994595464502,1.962529708875986,0.0,0.11481846405801599,0.2201054706718094
industry_neutral,2025,2,0.08897504823058523,1.7478635418879223,0.10585415859820636,1.802714026404359,0.0,0.18077528184636407,0.43135198959474297
ensemble,2023,1,0.09674618577262968,2.7442185269029262,0.10071354700237525,2.754833817439403,0.0,0.1549317508988026,0.3885713077350788
ensemble,2023,2,0.10223009228446804,2.4776897856982867,0.1035318747334793,2.260082299061794,0.0,0.255575303226533,0.4839212890122126
ensemble,2023,3,0.089109094377998,1.7867712333270984,0.09627397121190989,2.046357431594296,0.0,0.06624620230094397,0.173496798314408
ensemble,2023,4,0.08739794444916595,1.9809443983930246,0.10137647469925617,2.7305501103609275,0.0,0.14921760567800682,0.3306419271482088
ensemble,2024,1,0.11481284088110544,1.360127793048783,0.12376306501641154,1.2248776469309723,0.0,0.20554800723267763,0.35863365579119644
ensemble,2024,2,0.10917283871761561,1.7135082388527623,0.118561226453252,1.6422403800095275,0.0,0.12792450695544666,0.2622497014893028
ensemble,2024,3,0.1038167631278814,2.1158557481885776,0.11650798710777821,2.2877379582624857,0.0,0.110276342633052,0.2891955135449341
ensemble,2024,4,0.10147798018038415,1.7531316089564806,0.1113006059290855,1.6147669509629552,0.0,0.2911845711645271,0.3492886131487987
ensemble,2025,1,0.09644686510727296,1.8607983471223501,0.1059211963677142,1.7878978726392767,0.0,0.12720307909450526,0.25716786171322453
ensemble,2025,2,0.08869153258760548,1.5226202967547706,0.1073163261805313,1.6034297521590823,0.0,0.16260681038987362,0.3870532419168534
